Date,Reported
2/28/2020,0
3/2/2020,0
3/3/2020,0
3/5/2020,1
3/6/2020,0
3/7/2020,0
3/8/2020,1
3/9/2020,0
3/10/2020,0
3/11/2020,0
3/12/2020,0
3/13/2020,2
3/14/2020,3
3/15/2020,3
3/16/2020,1
3/17/2020,5
3/18/2020,6
3/19/2020,17
3/20/2020,10
3/21/2020,10
3/22/2020,20
3/23/2020,14
3/24/2020,9
3/25/2020,17
3/26/2020,17
3/27/2020,35
3/28/2020,28
3/29/2020,31
3/30/2020,22
3/31/2020,31
4/1/2020,28
4/2/2020,39
4/3/2020,23
4/4/2020,15
4/5/2020,18
4/6/2020,22
4/7/2020,21
4/8/2020,9
4/9/2020,11
4/10/2020,20
4/11/2020,14
4/12/2020,4
4/13/2020,6
4/14/2020,11
4/15/2020,11
4/16/2020,9
4/17/2020,20
4/18/2020,8
4/19/2020,4
4/20/2020,2
4/21/2020,6
4/22/2020,5
4/23/2020,3
4/24/2020,2
4/25/2020,2
4/26/2020,1
4/27/2020,1
4/28/2020,4
4/29/2020,4
4/30/2020,1
5/1/2020,0
5/2/2020,3
5/3/2020,1
5/4/2020,3
5/5/2020,1
5/6/2020,2
5/7/2020,0
5/8/2020,2
5/9/2020,1
5/10/2020,2
5/11/2020,1
5/12/2020,3
5/13/2020,0
5/14/2020,0
5/15/2020,2
5/16/2020,1
5/17/2020,0
5/18/2020,1
5/19/2020,1
5/20/2020,4
5/21/2020,0
5/22/2020,1
5/23/2020,0
5/24/2020,0
5/25/2020,0
5/26/2020,0
5/27/2020,2
5/28/2020,3
5/29/2020,3
5/30/2020,0
5/31/2020,0
6/1/2020,1
6/2/2020,1
6/3/2020,1
6/4/2020,6
6/5/2020,8
6/6/2020,1
6/7/2020,1
6/8/2020,6
6/9/2020,4
6/10/2020,6
6/11/2020,15
6/12/2020,17
6/13/2020,5
6/14/2020,8
6/15/2020,3
6/16/2020,5
6/17/2020,18
6/18/2020,26
6/19/2020,12
6/20/2020,10
6/21/2020,4
6/22/2020,3
6/23/2020,13
6/24/2020,15
6/25/2020,16
6/26/2020,6
6/27/2020,26
6/28/2020,2
6/29/2020,18
6/30/2020,7
7/1/2020,20
7/2/2020,28
7/3/2020,24
7/4/2020,25
7/5/2020,7
7/6/2020,41
7/7/2020,22
7/8/2020,34
7/9/2020,27
7/10/2020,41
7/11/2020,20
7/12/2020,20
7/13/2020,22
7/14/2020,28
7/15/2020,19
7/16/2020,23
7/17/2020,19
7/18/2020,28
7/19/2020,12
7/20/2020,24
7/21/2020,17
7/22/2020,54
7/23/2020,58
7/24/2020,69
7/25/2020,64
7/26/2020,28
7/27/2020,47
7/28/2020,110
7/29/2020,123
7/30/2020,122
7/31/2020,87
8/1/2020,45
8/2/2020,207
8/3/2020,143
8/4/2020,170
8/5/2020,150
8/6/2020,201
8/7/2020,229
8/8/2020,151
8/9/2020,139
8/10/2020,120
8/11/2020,200
8/12/2020,353
8/13/2020,231
8/14/2020,283
8/15/2020,218
8/16/2020,173
8/17/2020,134
8/18/2020,261
8/19/2020,235
8/20/2020,230
8/21/2020,280
8/22/2020,247
8/23/2020,169
8/24/2020,215
8/25/2020,275
8/26/2020,304
8/27/2020,264
8/28/2020,310
8/29/2020,199
8/30/2020,130
8/31/2020,179
9/1/2020,339
9/2/2020,208
9/3/2020,266
9/4/2020,218
9/5/2020,161
9/6/2020,104
9/7/2020,66
9/8/2020,100
9/9/2020,167
9/10/2020,167
9/11/2020,127
9/12/2020,114
9/13/2020,80
9/14/2020,65
9/15/2020,98
9/16/2020,156
9/17/2020,119
9/18/2020,112
9/19/2020,77
9/20/2020,55
9/21/2020,62
9/22/2020,167
9/23/2020,90
9/24/2020,111
9/25/2020,127
9/26/2020,95
9/27/2020,89
9/28/2020,85
9/29/2020,121
9/30/2020,107
10/1/2020,85
10/2/2020,133
10/3/2020,69
10/4/2020,51
10/5/2020,80
10/6/2020,109
10/7/2020,101
10/8/2020,151
10/9/2020,73
10/10/2020,103
10/11/2020,42
10/12/2020,62
10/13/2020,98
10/14/2020,88
10/15/2020,89
10/16/2020,94
10/17/2020,82
10/18/2020,36
10/19/2020,84
10/20/2020,77
10/21/2020,99
10/22/2020,128
10/23/2020,89
10/24/2020,119
10/25/2020,35
10/26/2020,64
10/27/2020,55
10/28/2020,70
10/29/2020,93
10/30/2020,62
10/31/2020,79
11/1/2020,73
11/2/2020,83
11/3/2020,150
11/4/2020,91
11/5/2020,115
11/6/2020,124
11/7/2020,126
